Kode,Nama,Saham Beredar,Market Cap
AKSI,Majapahit Securities Tbk.,720000000,90000000000
INDX,Tanah Laut Tbk,437913588,89772285540
PICO,Pelangi Indah Canindo Tbk,568375000,88098125000
ASBI,Asuransi Bintang Tbk.,174193236,84483719460
AHAP,Asuransi Harta Aman Pratama Tbk.,500000000,84000000000
DEFI,Danasupra Erapacific Tbk,67600000,79092000000
CTTH,Citatah Tbk.,1230839821,78773748544
PYFA,Pyridam Farma Tbk,535080000,78656760000
FORU,Fortune Indonesia Tbk,465224000,77692408000
LMSH,Lionmesh Prima Tbk.,9600000,76800000000
SIAP,Sekawan Intipratama Tbk,600000000,76200000000
PGLI,Pembangunan Graha Lestari Indah Tbk.,488000000,73200000000
SDPC,Millennium Pharmacon International,728000000,70616000000
AKKU,Alam Karya Unggul Tbk.,230000000,70150000000
WICO,Wicaksana Overseas International Tbk.,1268950977,65985450804
ALKA,Alakasa Industrindo Tbk,101533011,60919806600
BIMA,Primarindo Asia Infrastructure Tbk.,86000000,60200000000
PSKT,Pusako Tarinka Tbk.,82000000,57400000000
SIMA,Siwani Makmur Tbk,442589871,56651503488
ZBRA,Zebra Nusantara Tbk,655666202,55075960968
TIRT,Tirta Mahakam Resources Tbk,1011774750,52612287000
PKPK,Perdana Karya Perkasa Tbk,600000000,51600000000
GMCW,Grahamas Citrawisata Tbk.,58839958,50602363880
ERTX,Eratex Djaja Tbk.,160817474,45028892720
INTD,Inter Delta Tbk,118365600,44978928000
BAPA,Bekasi Asri Pemula Tbk.,661784520,43677778320
INCI,Intanwijaya Internasional Tbk,181035556,43448533440
LMAS,Limas Centric Indonesia Tbk,787851525,39392576250
RIMO,Rimo Catur Lestari Tbk,340000000,39100000000
SAFE,Steady Safe Tbk,391799407,38396341886
KICI,Kedaung Indah Can Tbk,138000000,37260000000
CNTB,Saham Seri B ( Centex Tbk ),6500000,32500000000
WAPO,Wahana Pronatural Tbk.,520000000,30680000000
UNTX,Unitex Tbk.,8068500,29853450000
RBMS,Ristia Bintang Mahkotasejati Tbk.,326722500,29731747500
CNTX,Century Textile Industry Tbk.,3500000,27300000000
YULE,Yulie Sekurindo Tbk,255000000,27285000000
CMPP,Centris Multipersada Pratama Tbk.,54000000,26460000000
KONI,Perdana Bangun Pusaka Tbk,76000000,25840000000
UNIT,Nusantara Inti Corpora Tbk,75422200,18855550000
JKSW,Jakarta Kyoei Steel Works Tbk.,150000000,14700000000
MAMIP,Mas Murni Tbk (Saham Preferen),6000000,3600000000
