Kode,Nama,Saham Beredar,Market Cap
RIMO,Rimo Catur Lestari Tbk,340000000,39440000000
LMAS,Limas Centric Indonesia Tbk,787851525,39392576250
AKKU,Alam Karya Unggul Tbk.,230000000,37720000000
KICI,Kedaung Indah Can Tbk,138000000,37260000000
YULE,Yulie Sekurindo Tbk,255000000,35700000000
SAFE,Steady Safe Tbk,391799407,33302949595
CNTB,Saham Seri B ( Centex Tbk ),6500000,32500000000
WAPO,Wahana Pronatural Tbk.,520000000,31720000000
UNTX,Unitex Tbk.,8068500,29853450000
AIMS,Akbar Indo Makmur Stimec Tbk,110000000,26400000000
UNIT,Nusantara Inti Corpora Tbk,75422200,26020659000
CNTX,Century Textile Industry Tbk.,3500000,23450000000
KONI,Perdana Bangun Pusaka Tbk,76000000,19000000000
JKSW,Jakarta Kyoei Steel Works Tbk.,150000000,13200000000
TKGA,Toko Gunung Agung Tbk,52000000,13000000000
SIMA,Siwani Makmur Tbk,92500000,11840000000
CPDW,Indo Setu Bara Resources Tbk.,34198115,7831368335
PWSI,Panca Wiratama Sakti Tbk,82500000,5032500000
MAMIP,Mas Murni Tbk (Saham Preferen),6000000,3600000000
